ka,o18,o18.lower,o18.upper,sl,sl.lower,sl.upper
0.05,0,0,0,0,0,0
0.1,0,0,0,0,0,0
0.5,0,0,0,0,0,0
2,0,0,0,-0.15,-0.15,-0.15
3.5,0.01,0,0.02,-1.18,0,-2.36
5,0.02,0.01,0.03,-2.51,-1.33,-3.69
6.5,0.04,0.02,0.06,-4.87,-2.51,-7.24
8,0.08,0.03,0.13,-9.74,-3.84,-15.66
9.5,0.21,0.1,0.32,-24.34,-11.38,-37.38
11,0.38,0.27,0.49,-44.99,-32.06,-58.06
12.5,0.57,0.46,0.68,-67.26,-54.36,-80.36
14,0.75,0.64,0.86,-88.94,-76.08,-102.08
15.5,0.89,0.78,1,-105.17,-92.33,-118.33
17,0.97,0.86,1.08,-114.17,-101.34,-127.34
18.5,1.02,0.91,1.13,-120.07,-107.25,-133.25
20,1.04,0.93,1.15,-123.02,-110.2,-136.2
21.5,1.02,0.91,1.13,-120.51,-107.69,-133.69
23,1,0.89,1.11,-117.71,-104.89,-130.89
24.5,0.96,0.85,1.07,-112.99,-100.16,-126.16
26,0.9,0.79,1.01,-106.2,-93.36,-119.52
27.5,0.84,0.73,0.95,-98.53,-85.68,-111.68
29,0.75,0.62,0.86,-88.06,-73.33,-101.19
30.5,0.69,0.58,0.8,-81.72,-68.74,-94.84
32,0.67,0.56,0.78,-78.47,-65.59,-91.59
33.5,0.67,0.56,0.78,-79.21,-66.33,-92.33
35,0.68,0.57,0.79,-80.68,-67.81,-93.81
36.5,0.66,0.55,0.77,-78.03,-65.15,-91.15
38,0.57,0.46,0.68,-66.73,-53.84,-79.84
39.5,0.53,0.42,0.64,-62.11,-49.21,-75.21
41,0.57,0.46,0.68,-67.82,-54.93,-80.93
42.5,0.62,0.51,0.73,-73.54,-60.66,-86.66
44,0.64,0.53,0.75,-75.6,-62.71,-88.71
45.5,0.62,0.51,0.73,-73.49,-60.6,-86.6
47,0.62,0.51,0.73,-73.22,-60.34,-86.34
48.5,0.63,0.52,0.74,-74,-61.11,-87.11
50,0.61,0.5,0.72,-71.61,-58.72,-84.72
51.5,0.58,0.47,0.69,-68.87,-55.97,-81.97
53,0.49,0.38,0.6,-57.56,-44.65,-70.65
54.5,0.44,0.33,0.55,-52.09,-39.17,-65.17
56,0.47,0.36,0.58,-55.9,-42.99,-68.99
57.5,0.51,0.4,0.62,-60.54,-47.63,-73.63
59,0.48,0.37,0.59,-56.2,-43.29,-69.29
60.5,0.41,0.3,0.55,-48.02,-35.09,-64.7
62,0.46,0.35,0.57,-54.74,-41.82,-67.82
63.5,0.63,0.52,0.74,-74.58,-61.7,-87.7
65,0.72,0.52,0.83,-84.65,-61.6,-97.78
66.5,0.71,0.5,0.82,-84.36,-59.53,-97.49
68,0.66,0.51,0.77,-78.05,-60.42,-91.17
69.5,0.65,0.53,0.76,-76.38,-62.05,-89.49
71,0.62,0.51,0.73,-72.77,-59.83,-85.88
72.5,0.57,0.46,0.68,-67.31,-53.92,-80.41
74,0.38,0.27,0.49,-44.38,-31.45,-57.45
75.5,0.34,0.23,0.45,-39.62,-26.68,-52.68
77,0.31,0.2,0.42,-36.31,-23.37,-49.37
78.5,0.22,0.11,0.33,-25.43,-12.47,-38.47
80,0.17,0.06,0.28,-19.7,-6.73,-32.73
81.5,0.16,0.05,0.27,-18.67,-5.7,-31.7
83,0.19,0.08,0.3,-22.3,-9.34,-35.34
84.5,0.27,0.16,0.38,-32.06,-19.11,-45.11
86,0.35,0.24,0.46,-41.87,-28.93,-54.93
87.5,0.41,0.29,0.52,-48.63,-34.43,-61.71
89,0.41,0.3,0.52,-48.29,-35.37,-61.37
90.5,0.4,0.29,0.51,-47.19,-34.26,-60.26
92,0.36,0.25,0.47,-42.2,-29.27,-55.27
93.5,0.29,0.18,0.4,-34.74,-21.79,-47.79
95,0.23,0.12,0.34,-27.02,-14.07,-40.07
96.5,0.23,0.12,0.34,-27.59,-14.64,-40.64
98,0.24,0.13,0.35,-27.81,-14.85,-40.85
99.5,0.2,0.09,0.31,-23.84,-10.87,-36.87
101,0.18,0.07,0.29,-20.86,-7.89,-33.89
102.5,0.18,0.07,0.29,-21.18,-8.22,-34.22
104,0.24,0.13,0.35,-27.79,-14.83,-40.83
105.5,0.27,0.16,0.38,-31.61,-18.66,-44.66
107,0.32,0.21,0.43,-38.03,-25.09,-51.09
108.5,0.38,0.27,0.49,-44.62,-31.69,-57.69
110,0.38,0.27,0.49,-44.72,-31.79,-57.79
111.5,0.35,0.24,0.46,-40.94,-28,-54
113,0.23,0.12,0.34,-26.69,-13.74,-39.74
114.5,0.14,0.03,0.25,-17.1,-4.12,-30.12
116,0.1,-0.01,0.21,-11.42,1.56,-24.44
117.5,0.05,-0.06,0.16,-5.45,7.54,-18.46
119,0.01,-0.1,0.12,-1.16,11.84,-14.16
121.4375,-0.02,-0.13,0.09,2.2,15.2,-10.8
123.875,-0.05,-0.16,0.06,6.3,19.31,-6.69
126.3125,-0.04,-0.15,0.07,4.91,17.92,-8.08
128.75,0.01,-0.1,0.12,-1.25,11.75,-14.66
131.1875,0.25,0.14,0.4,-29.39,-16.43,-47.65
132.7142857,0.58,0.47,0.69,-68.43,-55.54,-81.54
133.7857143,0.72,0.61,0.93,-84.62,-71.75,-109.87
134.8571429,0.94,0.83,1.05,-111.46,-98.63,-124.63
135.9285714,1.06,0.95,1.17,-125.54,-112.73,-138.73
137,1.09,0.98,1.2,-128.94,-116.14,-142.14
138.0714286,1.08,0.97,1.19,-127.05,-114.25,-140.25
139.1428571,1.03,0.92,1.14,-121.41,-108.6,-134.6
140.2142857,0.99,0.88,1.1,-117.27,-104.45,-130.45
141.2857143,0.96,0.79,1.07,-113.29,-92.85,-126.46
142.3571429,0.92,0.7,1.03,-108.6,-82.57,-121.77
143.4285714,0.89,0.62,1,-105.02,-73.14,-118.18
144.5,0.88,0.61,0.99,-103.84,-71.92,-117
146,0.89,0.67,1,-105.02,-79.46,-118.18
147.5,0.96,0.74,1.07,-113.28,-87.13,-126.45
149,1.01,0.78,1.12,-118.79,-92.37,-131.97
150.5,1.02,0.8,1.13,-119.99,-94.96,-133.17
152,1.01,0.8,1.12,-118.94,-94.31,-132.12
153.5,0.95,0.75,1.06,-111.98,-89.18,-125.15
155,0.81,0.7,0.92,-95.63,-82.78,-108.78
156.5,0.65,0.54,0.76,-76.94,-64.06,-90.06
158,0.72,0.61,0.83,-85.45,-71.98,-98.58
159.5,0.76,0.59,0.87,-89.35,-69.17,-102.49
161,0.67,0.56,0.78,-79.08,-66.2,-92.2
162.5,0.67,0.56,0.78,-78.58,-65.65,-91.7
164,0.54,0.43,0.65,-64.06,-51.16,-77.16
165.5,0.44,0.33,0.55,-51.41,-38.49,-64.49
167,0.42,0.31,0.53,-49.53,-36.61,-62.61
168.5,0.49,0.38,0.6,-57.44,-44.53,-70.53
170,0.56,0.45,0.67,-66.06,-53.16,-79.16
171.5,0.65,0.54,0.76,-76.51,-63.63,-89.63
173,0.66,0.55,0.77,-77.72,-64.84,-90.84
174.5,0.62,0.51,0.73,-72.7,-59.81,-85.81
176,0.58,0.47,0.69,-67.91,-55.01,-81.01
177.5,0.57,0.46,0.68,-67.24,-54.35,-80.35
179,0.64,0.53,0.75,-75.06,-62.18,-88.18
180.5,0.7,0.59,0.81,-82.77,-69.9,-95.9
182,0.72,0.61,0.83,-85.09,-72.22,-98.22
183.5,0.73,0.62,0.84,-86.15,-73.28,-99.28
185,0.68,0.57,0.79,-80.33,-67.46,-93.46
186.5,0.62,0.51,0.73,-73.35,-60.46,-86.46
188,0.53,0.42,0.64,-63.07,-50.17,-76.17
189.5,0.4,0.29,0.51,-47.49,-34.57,-60.57
191,0.28,0.17,0.39,-33.15,-20.21,-46.21
192.5,0.2,0.09,0.31,-23.33,-10.37,-36.37
194,0.17,0.06,0.28,-19.59,-6.62,-32.62
195.5,0.11,0,0.22,-13.37,-0.39,-26.39
197,0.08,-0.03,0.19,-9.68,3.3,-22.7
198.5,0.14,0.03,0.25,-16.1,-3.13,-29.13
200,0.22,0.1,0.33,-26.24,-11.37,-39.28
201.5,0.22,0.09,0.33,-25.66,-11.07,-38.7
203,0.15,0.04,0.26,-17.55,-4.57,-30.57
204.5,0.13,0.02,0.24,-15.05,-2.08,-28.08
206,0.11,0,0.22,-12.85,0.13,-25.87
207.5,0.09,-0.02,0.2,-10.78,2.2,-23.8
209,0.08,-0.03,0.19,-9.53,3.46,-22.54
210.5,0.07,-0.04,0.18,-8.3,4.69,-21.31
212,0.05,-0.06,0.16,-5.54,7.45,-18.55
213.5,0.03,-0.08,0.14,-3.95,9.05,-16.95
215,0.03,-0.08,0.14,-3.54,9.45,-16.55
216.5,0.03,-0.08,0.14,-3.55,9.44,-16.56
218,0.05,-0.06,0.16,-6.06,6.93,-19.07
219.5,0.1,-0.01,0.21,-11.62,1.36,-24.64
221,0.14,0.03,0.25,-16.17,-3.19,-29.19
222.5,0.21,0.1,0.33,-24.47,-11.51,-39.04
224,0.46,0.35,0.57,-53.98,-41.07,-67.07
225.5,0.7,0.47,0.81,-83.15,-55.81,-96.27
227,0.68,0.48,0.79,-80.8,-57.17,-93.93
228.5,0.57,0.46,0.68,-67.59,-54.7,-80.7
230,0.53,0.41,0.64,-62.42,-48.53,-75.52
231.5,0.44,0.32,0.55,-52.26,-37.64,-65.34
233,0.23,0.12,0.34,-26.74,-13.78,-39.78
234.5,0.1,-0.01,0.21,-11.7,1.28,-24.72
236,0.08,-0.03,0.19,-9.38,3.6,-22.4
237.5,0.19,0.06,0.3,-22.16,-6.96,-35.19
239,0.22,0.11,0.33,-25.38,-12.42,-38.42
240.5,0.29,0.18,0.4,-33.69,-20.74,-46.74
242,0.4,0.29,0.51,-47.76,-34.83,-60.83
243.5,0.53,0.42,0.64,-61.97,-49.06,-75.06
245,0.7,0.59,0.81,-82.83,-69.96,-95.96
246.5,0.84,0.73,0.95,-98.66,-85.82,-111.82
248,0.9,0.79,1.01,-106.09,-93.25,-119.25
249.5,0.92,0.81,1.03,-108.11,-95.27,-121.27
251,0.89,0.69,1,-105.01,-81.14,-118.17
252.5,0.82,0.64,0.93,-96.41,-75.34,-109.56
254,0.76,0.59,0.87,-89.79,-69.76,-102.93
255.5,0.75,0.54,0.86,-88.48,-64.07,-101.61
257,0.77,0.48,0.88,-91.34,-56.28,-104.48
258.5,0.74,0.45,0.85,-86.89,-52.6,-100.02
260,0.71,0.45,0.82,-84.22,-53.29,-97.35
261.5,0.73,0.48,0.84,-86.36,-56.78,-99.49
263,0.77,0.5,0.88,-90.62,-59.51,-103.76
264.5,0.78,0.5,0.89,-92.11,-59.61,-105.25
266,0.77,0.5,0.88,-90.74,-58.85,-103.87
267.5,0.77,0.49,0.88,-90.54,-58.28,-103.68
269,0.8,0.49,0.91,-94.23,-58.48,-107.38
270.5,0.79,0.52,0.9,-93.69,-61.93,-106.83
272,0.7,0.57,0.81,-82.95,-67.25,-96.08
273.5,0.58,0.47,0.69,-68.65,-55.76,-81.76
275,0.57,0.46,0.68,-66.84,-53.95,-79.95
276.5,0.61,0.5,0.72,-72.07,-59.18,-85.18
278,0.6,0.47,0.71,-70.42,-54.99,-83.53
279.5,0.49,0.38,0.6,-57.8,-44.89,-70.89
281,0.36,0.25,0.47,-42.77,-29.84,-55.84
282.5,0.24,0.13,0.35,-27.74,-14.79,-40.79
284,0.15,0.04,0.26,-18.01,-5.03,-31.03
285.5,0.15,0.04,0.26,-17.61,-4.64,-30.64
287,0.14,0.03,0.25,-16.37,-3.4,-29.4
288.5,0.14,0.03,0.25,-16.88,-3.9,-29.9
290,0.23,0.12,0.34,-27.12,-14.16,-40.16
291.5,0.35,0.24,0.46,-41.02,-28.08,-54.08
293,0.4,0.29,0.51,-46.95,-34.02,-60.02
294.5,0.42,0.31,0.53,-49.62,-36.7,-62.7
296,0.47,0.36,0.58,-55.55,-42.64,-68.64
297.5,0.51,0.4,0.62,-59.66,-46.75,-72.75
299,0.52,0.41,0.63,-61.01,-48.1,-74.1
300.5,0.45,0.34,0.56,-53.54,-40.62,-66.62
